timestamp_utc,total_portfolio_value,spy_equivalent_value
2026-05-12T03:50:55.579406+00:00,100000.00,100000.00
2026-05-12T04:10:33.483539+00:00,100000.00,100000.00
2026-05-12T04:30:35.818660+00:00,100000.00,100000.00
2026-05-13T20:00:03.120382+00:00,100000.00,100412.55
2026-05-14T15:03:00.895454+00:00,100000.00,101133.51
2026-05-14T15:17:26.110479+00:00,99991.86,101209.25
2026-05-14T15:18:38.709340+00:00,100010.46,101240.36
2026-05-14T15:21:40.971292+00:00,99991.43,101248.48
2026-05-14T15:25:31.670972+00:00,99985.93,101253.91
2026-05-14T15:28:33.645053+00:00,99987.05,101275.52
2026-05-14T15:30:02.633034+00:00,99968.97,101239.01
2026-05-14T15:36:33.958441+00:00,99981.48,101257.19
2026-05-14T15:37:21.788320+00:00,99980.86,101263.36
2026-05-14T20:16:00.966514+00:00,99775.77,101199.78
2026-05-14T23:42:32.414270+00:00,99841.62,101199.78
2026-05-15T04:30:55.047262+00:00,98682.36,101199.78
2026-05-15T04:32:30.616821+00:00,99838.45,101199.78
2026-05-15T04:34:54.290135+00:00,99838.45,101199.78
2026-05-15T04:38:01.138080+00:00,99838.45,101199.78
2026-05-15T04:40:08.937825+00:00,99838.45,101199.78
2026-05-15T04:44:04.934997+00:00,99838.45,101199.78
2026-05-15T19:00:14.889668+00:00,99105.92,100328.69
2026-05-15T19:20:05.082767+00:00,98911.73,100152.17
2026-05-15T19:25:01.762807+00:00,98776.77,100121.74
2026-06-01T04:25:18.669932+00:00,105299.61,102323.82
2026-06-01T16:53:37.385163+00:00,105451.40,102483.43
